session_code,participant_code,offer_price,transaction_price,discount,purchased,last_return,last_imbalance,informative,belief_informative,belief_confidence,return_forecast,forecast_confidence,investment_amount,age,gender,education,finance_course,fin_literacy_score
cbctgbhm,73jghh3l,15,9,6,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,-1.0,3.0,40.0,60.0,male,graduate,1.0,3.0
cbctgbhm,no05s8l0,5,0,5,1.0,15.6552619854883,-10.6145146455845,0,1.0,5.0,15.0,5.0,90.0,62.0,male,some_college,0.0,3.0
cbctgbhm,wt33eir3,10,0,10,1.0,15.6552619854883,-10.6145146455845,0,1.0,4.0,12.0,2.0,0.0,43.0,male,graduate,1.0,3.0
cbctgbhm,j677rs5l,15,0,15,0.0,14.5282644745692,7.35487993020429,1,,,10.0,3.0,10.0,56.0,male,graduate,0.0,3.0
cbctgbhm,9bxb8iuj,5,0,5,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,-5.0,4.0,0.0,49.0,male,bachelor,0.0,3.0
cbctgbhm,y56xei6m,10,0,10,1.0,15.3352032889933,8.30613918663683,0,1.0,4.0,13.0,3.0,70.0,51.0,male,some_college,0.0,3.0
cbctgbhm,fazmrc0t,15,0,15,0.0,15.6552619854883,-10.6145146455845,0,,,20.0,3.0,10.0,58.0,male,graduate,0.0,3.0
cbctgbhm,n4imrppg,5,3,2,0.0,15.6552619854883,-10.6145146455845,0,,,22.0,3.0,30.0,20.0,male,some_college,0.0,3.0
cbctgbhm,82u7807i,10,3,7,1.0,15.3352032889933,8.30613918663683,0,1.0,4.0,50.0,3.0,100.0,29.0,male,bachelor,1.0,2.0
cbctgbhm,z8atuwm3,15,3,12,1.0,15.1098174886843,-18.5046274258981,1,0.0,4.0,15.0,3.0,50.0,29.0,female,graduate,1.0,3.0
cbctgbhm,qy9tursj,10,6,4,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,20.0,3.0,25.0,55.0,male,bachelor,1.0,3.0
cbctgbhm,rj96p1b3,15,6,9,1.0,15.3352032889933,8.30613918663683,0,1.0,3.0,12.0,3.0,50.0,48.0,male,bachelor,1.0,3.0
cbctgbhm,d7mjj1r3,5,0,5,1.0,15.1098174886843,-18.5046274258981,1,1.0,2.0,10.0,3.0,20.0,35.0,female,graduate,0.0,3.0
cbctgbhm,n5hmtw58,10,0,10,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,18.5,4.0,50.0,42.0,male,some_college,1.0,3.0
cbctgbhm,5mw3yk5j,5,0,5,1.0,15.3352032889933,8.30613918663683,0,0.0,3.0,20.0,1.0,20.0,49.0,female,bachelor,1.0,3.0
cbctgbhm,chaq1foc,15,0,15,0.0,15.6552619854883,-10.6145146455845,0,,,2.0,2.0,20.0,48.0,female,graduate,0.0,3.0
cbctgbhm,80cdkqck,5,3,2,1.0,15.1098174886843,-18.5046274258981,1,1.0,5.0,-2.0,4.0,30.0,30.0,female,bachelor,1.0,3.0
cbctgbhm,rq16asjh,10,6,4,0.0,14.5282644745692,7.35487993020429,1,,,21.0,2.0,75.0,39.0,male,graduate,1.0,3.0
cbctgbhm,60ltvplq,15,9,6,0.0,14.5282644745692,7.35487993020429,1,,,15.0,2.0,50.0,37.0,male,bachelor,1.0,3.0
cbctgbhm,fzdrbznh,5,0,5,0.0,15.6552619854883,-10.6145146455845,0,,,10.0,4.0,30.0,80.0,male,bachelor,0.0,3.0
cbctgbhm,2r16tbnf,15,0,15,0.0,14.5282644745692,7.35487993020429,1,,,22.0,3.0,100.0,31.0,female,some_college,0.0,3.0
cbctgbhm,b28vgwr3,5,0,5,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,-10.0,3.0,20.0,46.0,male,bachelor,0.0,3.0
cbctgbhm,tumsnr75,10,0,10,1.0,15.1098174886843,-18.5046274258981,1,1.0,3.0,15.0,3.0,45.0,34.0,female,graduate,1.0,3.0
cbctgbhm,qgbzshoe,15,0,15,1.0,15.3352032889933,8.30613918663683,0,1.0,3.0,10.0,2.0,50.0,52.0,male,bachelor,0.0,3.0
cbctgbhm,4k4iffch,10,3,7,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,20.0,4.0,80.0,27.0,male,highschool,0.0,3.0
cbctgbhm,teoubldf,15,3,12,1.0,15.6552619854883,-10.6145146455845,0,1.0,2.0,30.0,2.0,94.0,30.0,female,graduate,1.0,1.0
cbctgbhm,en3dfukh,10,6,4,1.0,14.5282644745692,7.35487993020429,1,1.0,5.0,20.0,1.0,30.0,23.0,female,graduate,0.0,2.0
cbctgbhm,6gt3a6cm,15,6,9,1.0,15.3352032889933,8.30613918663683,0,1.0,5.0,50.0,4.0,45.0,64.0,male,bachelor,0.0,2.0
cbctgbhm,ubf5jn3m,15,9,6,1.0,14.5282644745692,7.35487993020429,1,0.0,3.0,20.0,4.0,50.0,36.0,male,some_college,1.0,3.0
cbctgbhm,9uruneaj,5,0,5,1.0,15.3352032889933,8.30613918663683,0,1.0,4.0,18.0,3.0,70.0,34.0,male,bachelor,0.0,3.0
